AT,V,AP,RH,PE
23.29,49.3,1003.88,74.12,442.11
23.64,70.04,1011.09,83.35,435.21
21.47,50.12,1009.19,93.68,448.11
22.39,48.14,1014.56,64.31,448.58
20.01,56.65,1020.77,74.46,457.01
25.08,51.43,1011.8,71.98,446.67
20.98,42.23,1012.9,70.7,462.27
25.53,59.57,1010.65,82.04,445.59
17.98,,1018.29,83.46,455.71
6.8,39.37,̎ʷ˺Hſ,73.29,487.33
5.66,35.79,1013.86,94.42,484.15
27.17,67.17,1006.76,81.59,431.73
27.3ă9,67.07,1006.17,58.2,441.45
14.85,58.59,1014.04,89.85,454.62
27.05,59.15,1012.83,56.31,441.39
32.1,69.98,1013.31,55.84,431.09
23.57,66.75,1018.06,80.19,439.71
8.03,37.8,1020.47,60.67,481.51
26.88,79.74,1006.54,93.7,434.77
12.37,46.97,1013.95,90.76,464.4
26.37,69.84,1002.71,83.51,428.6
23.11,68.3,1017.83,86.62,437.91
22.18,62.91,1012.14,68.86,449.77
12.38,41.62,1012.37,84.15,461.07
30.33,70.36,1006.72,70.31,438.47
24.6,75.23,1012.04,76.77,434.07
21.36,45.61,,83.64,456.85
10.9,,1016.66,86.2,479.45
5.52,42.85,1012.77,93.82,478.98
13.49,43.41,,57.86,461.06
32.42,65.74,1010.97,52.73,439.01
15.89,43.96,1014.02,75.24,467.35
22.42,60.08,1017.71,67.46,452.31
15.89,41.7,1018.93,82.68,463.33
21.86,64.45,1015.83,63.36,457.8
24.41,52.3,1006.28,70.33,442.62
23.41,54.42,1012.86,70.12,454.68
12.12,40.0,27.8101,84.42,462.1
27.02,71.25,1000.48,87.86,438.33
10.48,40.22,1004.81,92.16,477.78
8.01,40.46,24.9101,77,475.42
23.53,50.05,1005.63,78.4,443.71
29.01,70.32,1007.26,60.55,429.23
12.48,40.67,1011.24,61.1,475.96
10.42,41.46,1021.04,89.16,479.24
24.8,65.48,1018.56,62.05,442.02
9.38,44.77,1020.41,85.26,473.9
16.54,42.86,1014.85,78.0,465.26
