f1,f2,f3,f4,f5,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
1.0,0.0,0.0,0.0,0.0,18.0,516.0,-6.0,0.0,510.0
0.0,0.0,0.0,1.0,0.0,21.0,378.0,-2.8,-84.0,291.2
0.0,1.0,0.0,0.0,0.0,2.0,350.0,0.0,0.0,350.0
0.0,1.0,0.0,0.0,0.0,3.0,564.0,0.0,0.0,564.0
1.0,0.0,0.0,0.0,0.0,2.0,90.0,-4.5,0.0,85.5
1.0,0.0,0.0,0.0,0.0,3.0,66.0,-2.2,0.0,63.8
0.0,0.0,1.0,0.0,0.0,2.0,48.0,0.0,0.0,48.0
0.0,1.0,0.0,0.0,0.0,2.0,34.0,-5.2,0.0,28.8
1.0,0.0,0.0,0.0,0.0,14.0,518.0,-14.6,0.0,503.4
1.0,0.0,0.0,0.0,0.0,3.0,162.0,0.0,0.0,162.0
0.0,0.0,0.0,1.0,0.0,1.0,48.0,0.0,0.0,48.0
1.0,0.0,0.0,0.0,0.0,3.0,204.0,-20.4,0.0,183.6
0.0,0.0,0.0,0.0,1.0,3.0,31.5,Ȓ~ĝȆ,0.0,28.88
1.0,0.0,0.0,0.0,0.0,4.0,600.0,-15.0,0.0,585.0
0.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0,0.0,28.0
0.0,0.0,0.0,1.0,0.0,4.0,60.0,-5.0,0.0,55.0
0.0,1.0,0.0,0.0,0.0,1.0,95.0,-9.5,0.0,85.5
1.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,32.0
0.0,1.0,0.0,0.0,0.0,4.0,500.0,-37.5,0.0,462.5
0.0,0.0,1.0,0.0,0.0,17.0,1496.0,-44.0,0.0,1452.0
0.0,1.0,0.0,0.0,0.0,5.0,220.0,-8.8,0.0,211.2
0.0,1.0,0.0,0.0,0.0,1.0,175.0,0.0,00..,175.0
0.0,1.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,44.0
0.0,0.0,0.0,0.0,1.0,4.0,80.0,-4.0,..00,76.0
1.0,0.0,0.0,0.0,0.0,4.0,360.0,-5.8,0.0,354.2
0.0,1.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,68.0
0.0,1.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,28.0
0.0,1.0,0.0,0.0,0.0,4.0,208.0,-13.01,0.0,194.99
0.0,1.0,0.0,0.0,0.0,2.0,120.0,-6.8,0.0,113.2
0.0,0.0,0.0,1.0,0.0,3.0,102.0,0.0,0.0,102.0
0.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0,24.0
1.0,0.0,0.0,0.0,0.0,1.0,16.0,-1.6,0.0,14.4
0.0,1.0,0.0,0.0,0.0,1.0,145.0,0.0,0.0,145.0
0.0,1.0,0.0,0.0,0.0,3.0,204.0,Afghanistan,0.0,204.0
1.0,0.0,0.0,0.0,0.0,5.0,290.0,0.0,0.0,290.0
1.0,0.0,0.0,0.0,0.0,1.0,44.0,-4.4,0.0,39.6
0.0,1.0,0.0,0.0,0.0,3.0,84.0,-8.41,s,75.59
0.0,1.0,0.0,0.0,0.0,1.0,40.6,-4.06,0.0,36.54
0.0,1.0,0.0,0.0,0.0,4.0,,-20.8,-28.0,97.2
0.0,0.0,0.0,0.0,1.0,1.0,18.0,0.0,0.0,18.0
0.0,1.0,0.0,0.0,0.0,7.0,876.5,-12.65,0.0,863.85
0.0,0.0,1.0,0.0,0.0,7.0,574.0,-8.2,0.0,565.8
0.0,0.0,1.0,0.0,0.0,7.0,304.0,-15.2,-38.0,250.8
1.0,0.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,32.0
0.0,1.0,0.0,0.0,0.0,3.0,330.0,-11.0,,319.0
0.0,0.0,0.0,0.0,1.0,1.0,77,0.0,0.0,76.0
0.0,1.0,0.0,0.0,0.0,1.0,11110000,-11.0,0.0,99.0
0.0,1.0,0.0,0.0,0.0,1.0,145.0,0.0,0.0,145.0
0.0,1.0,0.0,0.0,0.0,2.0,92.0,-4.6,0.0,87.4
0.0,1.0,0.0,0.0,0.0,2.0,80.0,-8.0,0.0,72.0
0.0,0.0,0.0,1.0,0.0,3.0,84.0,0.0,0.0,84.0
0.0,1.0,0.0,0.0,0.0,1.0,96.0,0.0,0.0,96.0
0.0,1.0,0.0,0.0,0.0,5.0,575.0,-23.0,0.0,552.0
0.0,1.0,0.0,0.0,0.0,3.0,440.0,ɬ,-110.0,330.0
0.0,1.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,44.0
0.0,1.0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,38.0
0.0,1.0,0.0,0.0,0.0,3.0,146.0,-10.2,0.0,135.8
1.0,0.0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,38.0
1.0,0.0,0.0,0.0,0.0,11.0,0.253,-3.19,0.0,348.81
0.0,0.0,0.0,0.0,1.0,7.0,Alabama,0.0,0.0,92.0
1.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,24.0
0.0,1.0,0.0,0.0,0.0,1.0,125.0,-12.5,0.0,112.5
0.0,0.0,1.0,0.0,0.0,2.0,128.0,,0.0,128.0
0.0,0.0,0.0,0.0,1.0,69.0,1104.0,-25.6,0.0,1078.4
0.0,1.0,0.0,0.0,0.0,7.0,364.0,-15.6,0.0,348.4
0.0,0.0,0.0,1.0,0.0,5.0,440.0,0.0,0.0,440.0
1.0,0.0,0.0,0.0,0.0,12.0,192.0,-6.42,0.0,185.58
0.0,1.0,0.0,0.0,0.0,1.0,185.0,0.0,0.0,185.0
0.0,1.0,0.0,0.0,0.0,1.0,92.0,-4.6,-46.0,41.4
