labels,i_w_blo_weg,o_w_blo_power,o_w_blo_voltage,i_w_bhl_weg,o_w_bhl_power,o_w_bhl_voltage
0.0,-102.0,0.0,0.0,0.0,0.0,1.0
0.0,69.0,19360.0,54.0,-151.0,20196.0,55.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,-547.0,0.0,0.0
0.0,-105.0,0.0,0.0,0.0,0.0,0.0
0.0,-107.0,0.0,0.0,116.0,11556600..00,56.0
0.0,-105.0,0.0,0.0,00..00,44.0,1.0
0.0,-110.0,0.0,0.0,0.0,0.0,0.0
0.0,549.0,12056.0,43.0,878.0,0.0,0.0
0.0,,0.0,0.0,464.0,21784.0,55.0
0.0,8.0,83.0,1.0,N/A,23769.0,58.0
0.0,-104.0,0.0,..00,0.0,0.0,0.0
0.0,-106.0,0.0,0.0,0.0,49.0,1.0
0.0,8.0,0.0,0.0,-547.0,0.0,
0.0,0.832,25878.0,58.0,876.0,114.0,1.0
0.0,-107.0,0.0,0.0,526.0,23028.0,57.0
0.0,476.0,24248.0,56.0,,0.0,0.0
0.0,210.0,25288.0,58.0,878.0,297.0,3.0
0.0,-105.0,17.0,1.0,0.0,40.0,1.0
0.0,286.0,22176.0,56.0,877.0,0.0,0.0
0.0,˪ǖňŠ,23184.0,56.0,879.0,0.0,0.0
0.0,-106.0,11111111,0.0,0.0,15.0,1.0
0.0,376.0,21890.0,55.0,878.0,11111111,0.0
0.0,,12.0,0.0,-322.0,0.0,0.0
0.0,-106.0,0.0,0.0,110.0,21728.0,00
0.0,8.0,ŀȊ,?,-323.0,420.0,4.0
0.0,99,0.0,0.0,-546.0,0.0,0.0
0.0,9.0,156.0,2.0,-320.0,152.0,1.0
0.0,9.0,12138.0,34.0,705.0,21560.0,56.0
0.0,-106.0,0.0,0.0,0.0,0.0,0.0
0.0,-106.0,0.0,0.0,0.0,È46.0,0.0
0.0,8.0,0.0,0.0,-547.0,0.0,0.0
0.0,-108.0,,0.0,0.0,11111111,0.0
0.0,7.0,0.0,0.0,-49.0,20520.0,54.0
0.0,-104.0,0.0,0.0,293.0,22064.0,57.0
0.0,-104.0,0.0,0.0,156.0,19656.0,56.0
0.0,445.0,25868.0,57.0,879.0,5500..00,1.0
0.0,10.0,0.0,0.0,-547.0,0.0,0.0
0.0,-107.0,0.0,0.0,@í̟,67.0,1.0
0.0,9.0,0.0,0.0,-545.0,0.0,0.0
0.0,8.0,0.0,0.0,-515.0,15050.0,50.0
0.0,321.0,27873.0,,877.0,178.0,3.0
0.0,9.0,0.0,0.0,-518.0,17444.0,47.0
0.0,17.0,5348.0,28.0,N/A,19085.0,55.0
0.0,-107.0,0.0,0.0,0.0,0.0,0.0
0.0,-107.0,0.0,0.0,0.0,77.0,0.0
0.0,8.0,0.0,0.0,-38.0,22800.0,57.0
0.0,340.0,21175.0,56.0,877.0,ȫɷ,0.0
0.0,7.0,0.0,0.0,-412.0,20405.0,55.0
0.0,-107.0,0.0,0.0,0.0,4.0,1.0
