exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
5.170384285304384,5.170384285304384,5.170384285304384,5.170384285304384,5.170384285304384,5.170384285304384,5.170384285304384,5.170384285304384,5.170384285304384,5.170384285304384
5.15775575934959,5.15775575934959,5.15775575934959,5.15775575934959,5.15775575934959,5.15775575934959,5.15775575934959,5.15775575934959,5.15775575934959,5.15775575934959
4.755306472324163,4.755306472324163,4.755306472324163,4.755306472324163,4.755306472324163,4.755306472324163,4.755306472324163,4.755306472324163,4.755306472324163,4.755306472324163
4.643628051871217,4.643628051871217,4.643628051871217,4.643628051871217,4.643628051871217,4.643628051871217,4.643628051871217,4.643628051871217,4.643628051871217,4.643628051871217
4.624068894287806,4.624068894287806,4.624068894287804,4.624068894287804,4.624068894287806,4.624068894287806,4.624068894287804,4.624068894287804,4.624068894287806,4.624068894287806
5.4805975200698995,5.425068525550647,5.416163787511321,5.614538560088336,5.480675332842353,5.454564991500009,5.294613860104912,5.380627075920765,5.470807006467878,5.289942927515296
5.4924623250500355,5.312959530808005,5.538127169385317,5.484128206394593,5.3734720512988865,5.497766965429517,5.333155831965803,5.50015831410254,5.4129524922838534,5.48619768315196
4.5791981606383265,4.5791981606383265,4.579198160638326,4.579198160638326,4.5791981606383265,4.5791981606383265,4.579198160638326,4.579198160638326,4.5791981606383265,4.5791981606383265
4.558544641809568,4.556030030617466,4.555843215490405,4.55375817714392,4.556727752156279,4.554523694304772,4.554354020603934,4.553508712009555,4.556528265532016,4.555431498515531
4.557074175845241,4.560157532397309,4.554868634761297,4.555920150723504,4.5557672594499925,4.5570474255656475,4.557436106315703,4.555193156457682,4.559419902547673,4.557797540194096
4.5599825405266445,4.556661651917596,4.557356884918279,4.554039337595147,4.555906738768173,4.556786198898821,4.555937156258607,4.5567459182937275,4.5567324823764945,4.552957016654182
4.507215765729107,4.497707579898026,4.529712485976748,4.493431467670018,4.52201354699983,4.491577128247415,4.495567710762417,4.527952754814546,4.496216430789017,4.546303701371643
