exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
5.19668450445217,5.19668450445217,5.19668450445217,5.19668450445217,5.19668450445217,5.19668450445217,5.19668450445217,5.19668450445217,5.19668450445217,5.19668450445217
5.19800230055669,5.19800230055669,5.1980023005566895,5.1980023005566895,5.19800230055669,5.19800230055669,5.1980023005566895,5.1980023005566895,5.19800230055669,5.19800230055669
5.2013057463920145,5.2013057463920145,5.2013057463920145,5.2013057463920145,5.2013057463920145,5.2013057463920145,5.2013057463920145,5.2013057463920145,5.2013057463920145,5.2013057463920145
5.199158316994855,5.199158316994855,5.199158316994855,5.199158316994855,5.199158316994855,5.199158316994855,5.199158316994855,5.199158316994855,5.199158316994855,5.199158316994855
5.19910639705742,5.19910639705742,5.19910639705742,5.19910639705742,5.19910639705742,5.19910639705742,5.19910639705742,5.19910639705742,5.19910639705742,5.19910639705742
5.201615646685948,5.203246182459093,5.203683728645588,5.20591417126168,5.193638593117346,5.199260419367881,5.2019462161124705,5.198630281857979,5.200494234905935,5.202132779794636
5.201351514503178,5.195901962977745,5.200378642539106,5.196460080541797,5.194729079735218,5.202999219976763,5.2021663087964285,5.200731225948002,5.204465206644288,5.197366414391046
5.197824917002653,5.197824917002653,5.197824917002652,5.197824917002652,5.197824917002653,5.197824917002653,5.197824917002652,5.197824917002652,5.197824917002653,5.197824917002653
5.201625120564532,5.201517956706486,5.2016621712925115,5.201833155603855,5.201934083829515,5.2016947505729805,5.201758678890129,5.201730338939103,5.201896514213657,5.2017098937605715
5.2018366027151695,5.201603689914854,5.201967475637714,5.201672893870582,5.2017545703851,5.201683770875712,5.201838168584733,5.202035721921562,5.201840883438256,5.201775464743692
5.201633748088222,5.201609641979914,5.201785106087802,5.201730493469887,5.201858664013645,5.201834824588071,5.201791852186101,5.201698451447651,5.201616096018433,5.201867374647309
5.201326662140495,5.188703841370046,5.201785106087802,5.1878269679466715,5.190244269344376,5.19910639705742,5.19011096371876,5.195761828836709,5.199158316994855,5.198114579550171
